Position,Track Name,Artist,Streams,URL
1,D?ÅKITI,Bad Bunny,4956130,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
2,Mood (feat. iann dior),24kGoldn,3536297,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
3,positions,Ariana Grande,3437518,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
4,Blinding Lights,The Weeknd,3399232,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
5,BICHOTA,KAROL G,3377731,https://open.spotify.com/track/7vrJn5hDSXRmdXoR30KgF1
6,34+35,Ariana Grande,2985576,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
7,"Lemonade (feat. Gunna, Don Toliver & NAV)",Internet Money,2808190,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
8,Dynamite,BTS,2755094,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
9,LA NOCHE DE ANOCHE,Bad Bunny,2714922,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
10,Therefore I Am,Billie Eilish,2495783,https://open.spotify.com/track/54bFM56PmE4YLRnqpW6Tha
11,WITHOUT YOU,The Kid LAROI,2449248,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
12,Whoopty,CJ,2430428,https://open.spotify.com/track/5vGLcdRuSbUhD8ScwsGSdA
13,What You Know Bout Love,Pop Smoke,2322727,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
14,Afterglow,Ed Sheeran,2245349,https://open.spotify.com/track/0E4Y1XIbs8GrAT1YqVy6dq
15,Monster (Shawn Mendes & Justin Bieber),Shawn Mendes,2203654,https://open.spotify.com/track/1HbA4N1MiOsPthALesGFR1
16,Levitating (feat. DaBaby),Dua Lipa,2167032,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
17,HOLIDAY,Lil Nas X,2165249,https://open.spotify.com/track/6zFMeegAMYQo0mt8rXtrli
18,willow,Taylor Swift,2151193,https://open.spotify.com/track/3Uo7WG0vmLQ07WB4BDwy7D
19,Watermelon Sugar,Harry Styles,2116006,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
20,Haw?≠i,Maluma,2094023,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
21,Snowman,Sia,2033740,https://open.spotify.com/track/7uoFMmxln0GPXQ0AcCBXRq
22,you broke me first,Tate McRae,2018156,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
23,Head & Heart (feat. MNEK),Joel Corry,2015318,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
24,WAP (feat. Megan Thee Stallion),Cardi B,2009578,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
25,Lonely (with benny blanco),Justin Bieber,1938478,https://open.spotify.com/track/4y4spB9m0Q6026KfkAvy9Q
26,Hecha Pa' Mi,Boza,1916153,https://open.spotify.com/track/3VvA1wSxukMLsvXoXtlwWx
27,ROCKSTAR (feat. Roddy Ricch),DaBaby,1903559,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
28,Prisoner (feat. Dua Lipa),Miley Cyrus,1858278,https://open.spotify.com/track/2Oycxb8QbPkpHTo8ZrmG0B
29,Reloj,Rauw Alejandro,1853216,https://open.spotify.com/track/4loQgPwJHocL3dFwLfjb1J
30,Dance Monkey,Tones And I,1811622,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
31,Someone You Loved,Lewis Capaldi,1797842,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
32,La Nota,Manuel Turizo,1788460,https://open.spotify.com/track/7ndTONDDRFGiPnnhOzOXxq
33,Roses - Imanbek Remix,SAINt JHN,1761353,https://open.spotify.com/track/0zLCBJZSiELJf02ucPP9wb
34,The Business,Ti?Æsto,1752488,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
35,For The Night (feat. Lil Baby & DaBaby),Pop Smoke,1737611,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
36,Chica Ideal,Sebastian Yatra,1659923,https://open.spotify.com/track/21N4Buj4xsyLb218lYle61
37,Don't Start Now,Dua Lipa,1630937,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
38,Relaci??n - Remix,Sech,1592323,https://open.spotify.com/track/35UUpTmrcFXNIVIN26ujXl
39,Holy (feat. Chance The Rapper),Justin Bieber,1566404,https://open.spotify.com/track/5u1n1kITHCxxp8twBcZxWy
40,BEB??,Camilo,1548201,https://open.spotify.com/track/7D7EH7MGyNHWSkqrszerI1
41,La T??xica,Farruko,1513875,https://open.spotify.com/track/15OjBeqNX3bShsGYQbteRv
42,TE MUDASTE,Bad Bunny,1509267,https://open.spotify.com/track/5RubKOuDoPn5Kj5TLVxSxY
43,Heather,Conan Gray,1489064,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
44,Vida de Rico,Camilo,1482498,https://open.spotify.com/track/73nAK3HgQK8dak83Y2WQ8F
45,Sweater Weather,The Neighbourhood,1461734,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
